,participant,session,order,start,end,start_hms,end_hms,place,activity,,,participant,session,items_uniq,order,start,end,start_hms,end_hms,type
231,9,reg,302,2144,2174,35M 44S,36M 14S,,,,,,,,,,,,,
232,9,reg,310,2216,2242,36M 56S,37M 22S,,,,,,,,,,,,,
233,9,reg,313,2254,2262,37M 34S,37M 42S,,,,,,,,,,,,,
234,9,reg,317,2290,2316,38M 10S,38M 36S,,,,,,,,,,,,,
235,9,reg,321,2344,2358,39M 4S,39M 18S,,,,,,,,,,,,,
236,9,reg,326,2380,2404,39M 40S,40M 4S,,,,,,,,,,,,,
237,9,reg,331,2418,2442,40M 18S,40M 42S,,,,,,,,,,,,,
238,9,reg,336,2454,2458,40M 54S,40M 58S,,,,,,,,,,,,,
239,9,reg,339,2466,2512,41M 6S,41M 52S,,,,,,,,,,,,,
240,9,reg,342,2522,2538,42M 2S,42M 18S,,,,,,,,,,,,,
241,9,reg,345,2570,2588,42M 50S,43M 8S,,,,,,,,,,,,,
242,9,reg,361,2716,2738,45M 16S,45M 38S,,,,,,,,,,,,,
243,9,reg,374,2818,2836,46M 58S,47M 16S,,,,,,,,,,,,,
244,9,reg,385,2860,2876,47M 40S,47M 56S,,,,,,,,,,,,,
245,9,reg,403,2954,2974,49M 14S,49M 34S,,,,,,,,,,,,,
246,9,reg,409,2982,2992,49M 42S,49M 52S,,,,,,,,,,,,,
247,9,reg,417,3054,3084,50M 54S,51M 24S,,,,,,,,,,,,,
248,9,reg,423,3092,3162,51M 32S,52M 42S,,,,,,,,,,,,,
249,9,reg,445,3278,3306,54M 38S,55M 6S,,,,,,,,,,,,,
250,9,reg,475,3534,3562,58M 54S,59M 22S,,,,,,,,,,,,,
251,9,reg,480,3622,3644,1H 0M 22S,1H 0M 44S,,,,,,,,,,,,,
252,10,reg,3,24,28,24S,28S,,,,,,,,,,,,,
253,10,reg,21,150,152,2M 30S,2M 32S,,,,,,,,,,,,,
254,10,reg,27,182,194,3M 2S,3M 14S,,,,,,,,,,,,,
255,10,reg,56,494,496,8M 14S,8M 16S,,,,,,,,,,,,,
256,10,reg,61,540,560,9M 0S,9M 20S,,,,,,,,,,,,,
257,10,reg,66,612,618,10M 12S,10M 18S,,,,,,,,,,,,,
258,10,reg,74,658,674,10M 58S,11M 14S,,,,,,,,,,,,,
259,10,reg,76,684,686,11M 24S,11M 26S,,,,,,,,,,,,,
260,10,reg,78,698,712,11M 38S,11M 52S,,,,,,,,,,,,,
261,10,reg,89,766,784,12M 46S,13M 4S,,,,,,,,,,,,,
262,10,reg,108,908,910,15M 8S,15M 10S,,,,,,,,,,,,,
263,10,reg,118,944,954,15M 44S,15M 54S,,,,,,,,,,,,,
264,10,reg,123,970,982,16M 10S,16M 22S,,,,,,,,,,,,,
265,10,reg,126,986,994,16M 26S,16M 34S,,,,,,,,,,,,,
266,10,reg,138,1058,1082,17M 38S,18M 2S,,,,,,,,,,,,,
267,10,reg,143,1100,1104,18M 20S,18M 24S,,,,,,,,,,,,,
268,10,reg,149,1160,1168,19M 20S,19M 28S,,,,,,,,,,,,,
269,10,reg,158,1230,1246,20M 30S,20M 46S,,,,,,,,,,,,,
270,10,reg,177,1340,1350,22M 20S,22M 30S,,,,,,,,,,,,,
271,10,reg,181,1380,1418,23M 0S,23M 38S,,,,,,,,,,,,,
272,10,reg,188,1460,1490,24M 20S,24M 50S,,,,,,,,,,,,,
273,10,reg,202,1570,1580,26M 10S,26M 20S,,,,,,,,,,,,,
274,10,reg,207,1612,1622,26M 52S,27M 2S,,,,,,,,,,,,,
275,10,reg,212,1648,1684,27M 28S,28M 4S,,,,,,,,,,,,,
276,10,reg,221,1718,1740,28M 38S,29M 0S,,,,,,,,,,,,,
277,10,reg,235,1858,1908,30M 58S,31M 48S,,,,,,,,,,,,,
278,10,reg,245,1952,1982,32M 32S,33M 2S,,,,,,,,,,,,,
279,11,reg,88,1136,1142,18M 56S,19M 2S,,,,,,,,,,,,,
280,11,reg,99,1216,1222,20M 16S,20M 22S,,,,,,,,,,,,,
281,11,reg,104,1234,1254,20M 34S,20M 54S,,,,,,,,,,,,,
282,11,reg,108,1262,1268,21M 2S,21M 8S,,,,,,,,,,,,,
283,11,reg,118,1354,1362,22M 34S,22M 42S,,,,,,,,,,,,,
284,11,reg,125,1436,1452,23M 56S,24M 12S,,,,,,,,,,,,,
285,11,reg,134,1476,1480,24M 36S,24M 40S,,,,,,,,,,,,,
286,11,reg,137,1492,1564,24M 52S,26M 4S,,,,,,,,,,,,,
287,11,reg,142,1592,1620,26M 32S,27M 0S,,,,,,,,,,,,,
288,11,reg,148,1648,1682,27M 28S,28M 2S,,,,,,,,,,,,,
289,11,reg,153,1684,1692,28M 4S,28M 12S,,,,,,,,,,,,,
290,11,reg,158,1710,1740,28M 30S,29M 0S,,,,,,,,,,,,,
291,11,reg,163,1744,1756,29M 4S,29M 16S,,,,,,,,,,,,,
292,11,reg,168,1776,1828,29M 36S,30M 28S,,,,,,,,,,,,,
293,11,reg,173,1846,1882,30M 46S,31M 22S,,,,,,,,,,,,,
294,11,reg,176,1890,1900,31M 30S,31M 40S,,,,,,,,,,,,,
295,11,reg,180,1924,1946,32M 4S,32M 26S,,,,,,,,,,,,,
296,11,reg,184,1954,1978,32M 34S,32M 58S,,,,,,,,,,,,,
297,11,reg,195,2080,2144,34M 40S,35M 44S,,,,,,,,,,,,,
298,11,reg,199,2164,2178,36M 4S,36M 18S,,,,,,,,,,,,,
299,11,reg,204,2196,2204,36M 36S,36M 44S,,,,,,,,,,,,,
300,11,reg,207,2236,2260,37M 16S,37M 40S,,,,,,,,,,,,,
301,11,reg,212,2284,2336,38M 4S,38M 56S,,,,,,,,,,,,,
302,11,reg,215,2350,2384,39M 10S,39M 44S,,,,,,,,,,,,,
303,11,reg,222,2404,2406,40M 4S,40M 6S,,,,,,,,,,,,,
304,11,reg,244,2536,2552,42M 16S,42M 32S,,,,,,,,,,,,,
305,11,reg,253,2608,2650,43M 28S,44M 10S,,,,,,,,,,,,,
306,11,reg,257,2680,2698,44M 40S,44M 58S,,,,,,,,,,,,,
307,11,reg,264,2756,2810,45M 56S,46M 50S,,,,,,,,,,,,,
308,11,reg,270,2840,2856,47M 20S,47M 36S,,,,,,,,,,,,,
309,11,reg,278,2896,2898,48M 16S,48M 18S,,,,,,,,,,,,,
