,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,comment
283,20,reg,369,2484,2492,41M 24S,41M 32S,,,,
284,20,reg,486,3246,3248,54M 6S,54M 8S,,,,
285,20,reg,487,3254,3256,54M 14S,54M 16S,,,,
286,20,reg,489,3306,3312,55M 6S,55M 12S,,,,
287,20,reg,495,3330,3334,55M 30S,55M 34S,,,,
288,20,reg,499,3342,3372,55M 42S,56M 12S,,,,
289,1,new,23,152,158,2M 32S,2M 38S,,,,
290,1,new,38,260,286,4M 20S,4M 46S,,,,
291,1,new,135,862,866,14M 22S,14M 26S,,,,
292,1,new,277,2006,2030,33M 26S,33M 50S,,,,
293,1,new,324,2798,2808,46M 38S,46M 48S,,,,
294,1,new,362,3312,3318,55M 12S,55M 18S,,,,
295,2,new,29,290,318,4M 50S,5M 18S,,,,
296,2,new,88,1148,1150,19M 8S,19M 10S,,,,
297,2,new,89,1150,1166,19M 10S,19M 26S,,,,
298,2,new,98,1232,1236,20M 32S,20M 36S,,,,
299,2,new,106,1480,1482,24M 40S,24M 42S,,,,
300,2,new,107,1480,1482,24M 40S,24M 42S,,,,
301,2,new,111,1554,1556,25M 54S,25M 56S,,,,
302,2,new,112,1688,1694,28M 8S,28M 14S,,,,
303,2,new,120,1752,1754,29M 12S,29M 14S,,,,
304,2,new,126,1844,1846,30M 44S,30M 46S,,,,
305,2,new,127,2000,2090,33M 20S,34M 50S,,,,
306,2,new,130,2118,2160,35M 18S,36M 0S,,,,
307,2,new,171,2432,2442,40M 32S,40M 42S,,,,
308,2,new,175,2456,2462,40M 56S,41M 2S,,,,
309,2,new,417,4836,4862,1H 20M 36S,1H 21M 2S,,,,
310,2,new,426,4878,4890,1H 21M 18S,1H 21M 30S,,,,
311,3,new,60,1082,1098,18M 2S,18M 18S,,,,
312,3,new,76,1198,1202,19M 58S,20M 2S,,,,
313,3,new,84,1238,1306,20M 38S,21M 46S,,,,
314,3,new,121,1692,1730,28M 12S,28M 50S,,,,
315,4,new,27,306,314,5M 6S,5M 14S,,,,
316,4,new,28,306,314,5M 6S,5M 14S,,,,
317,4,new,29,306,314,5M 6S,5M 14S,,,,
318,4,new,30,306,314,5M 6S,5M 14S,,,,
319,4,new,34,316,318,5M 16S,5M 18S,,,,
320,4,new,37,350,366,5M 50S,6M 6S,,,,
321,4,new,50,442,444,7M 22S,7M 24S,,,,
322,4,new,51,474,476,7M 54S,7M 56S,,,,
323,4,new,59,534,536,8M 54S,8M 56S,,,,
324,4,new,60,572,574,9M 32S,9M 34S,,,,
325,4,new,63,604,608,10M 4S,10M 8S,,,,
326,4,new,66,628,630,10M 28S,10M 30S,,,,
327,4,new,80,940,952,15M 40S,15M 52S,,,,
328,4,new,87,1132,1136,18M 52S,18M 56S,,,,
329,4,new,93,1162,1164,19M 22S,19M 24S,,,,
330,4,new,97,1174,1176,19M 34S,19M 36S,,,,
331,4,new,99,1200,1208,20M 0S,20M 8S,,,,
